,date,latitude,longitude,timezone,offset,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,icon,moonPhase,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windSpeed
0,1999-06-30 05:00:00,-3.74937,-73.2444,America/Lima,-5,97.84,930769200.0,72.93,930816000.0,97.84,930769200.0,71.23,930736800.0,0.8,72.87,0.9,partly-cloudy-day,0.57,rain,,Humid and mostly cloudy throughout the day.,930740435.0,930783299.0,87.86,930769200.0,71.65,930816000.0,87.86,930769200.0,69.85,930736800.0,930718800.0,5.0,930762000.0,,270.0,0.67
1,1999-07-01 05:00:00,-3.74937,-73.2444,America/Lima,-5,94.25,930855600.0,71.23,930902400.0,94.25,930855600.0,72.93,930816000.0,0.81,73.13,0.91,partly-cloudy-day,0.6,rain,,Humid and mostly cloudy throughout the day.,930826844.0,930869711.0,84.25,930855600.0,69.85,930902400.0,84.25,930855600.0,71.65,930816000.0,930805200.0,5.0,930844800.0,,291.0,1.23
2,1999-07-02 05:00:00,-3.74937,-73.2444,America/Lima,-5,100.01,930949200.0,73.21,930992400.0,100.01,930949200.0,71.23,930902400.0,0.76,73.61,0.89,partly-cloudy-day,0.63,rain,,Humid and mostly cloudy throughout the day.,930913254.0,930956123.0,87.86,930949200.0,71.65,930992400.0,87.86,930949200.0,69.85,930902400.0,930891600.0,5.0,930942000.0,,288.0,0.98
3,1999-07-03 05:00:00,-3.74937,-73.2444,America/Lima,-5,100.01,931028400.0,74.89,931071600.0,100.01,931028400.0,73.21,930992400.0,0.74,74.65,0.89,partly-cloudy-day,0.67,rain,,Humid and mostly cloudy throughout the day.,930999663.0,931042535.0,87.86,931028400.0,73.42,931071600.0,87.86,931028400.0,71.65,930992400.0,930978000.0,7.0,931021200.0,,256.0,1.46
4,1999-07-04 05:00:00,-3.74937,-73.2444,America/Lima,-5,97.21,931114800.0,73.21,931168800.0,97.21,931114800.0,74.89,931071600.0,0.72,73.98,0.88,partly-cloudy-day,0.7,,,Humid and mostly cloudy throughout the day.,931086072.0,931128947.0,86.04,931111200.0,71.65,931168800.0,86.04,931111200.0,73.42,931071600.0,931064400.0,7.0,931107600.0,,45.0,1.19
5,1999-07-05 05:00:00,-3.74937,-73.2444,America/Lima,-5,100.01,931201200.0,66.04,931262400.0,100.01,931201200.0,73.21,931168800.0,0.76,74.45,0.88,partly-cloudy-day,0.73,rain,,Humid and mostly cloudy throughout the day.,931172481.0,931215358.0,87.86,931201200.0,65.35,931262400.0,87.86,931201200.0,71.65,931168800.0,931150800.0,6.0,931190400.0,,181.0,1.94
6,1999-07-06 05:00:00,-3.74937,-73.2444,America/Lima,-5,68.96,931280400.0,64.99,931309200.0,73.21,931237200.0,64.99,931309200.0,0.98,65.41,0.94,cloudy,0.77,rain,,Overcast throughout the day.,931258889.0,931301770.0,68.04,931276800.0,64.44,931305600.0,71.65,931237200.0,64.44,931305600.0,931237200.0,4.0,931280400.0,,177.0,5.48
7,1999-07-07 05:00:00,-3.74937,-73.2444,America/Lima,-5,79.74,931370400.0,66.87,931413600.0,79.74,931370400.0,64.99,931323600.0,0.8,65.34,0.85,partly-cloudy-day,0.81,,,Mostly cloudy throughout the day.,931345296.0,931388181.0,78.85,931370400.0,66.24,931410000.0,78.85,931370400.0,64.44,931323600.0,931323600.0,5.0,931366800.0,,160.0,0.98
8,1999-07-08 05:00:00,-3.74937,-73.2444,America/Lima,-5,89.57,931467600.0,64.99,931507200.0,89.57,931467600.0,66.87,931413600.0,0.6,67.5,0.82,partly-cloudy-day,0.84,rain,,Humid and mostly cloudy throughout the day.,931431704.0,931474592.0,82.46,931453200.0,64.44,931507200.0,82.46,931453200.0,66.24,931410000.0,931410000.0,5.0,931446000.0,,151.0,1.67
9,1999-07-09 05:00:00,-3.74937,-73.2444,America/Lima,-5,98.27,931554000.0,65.27,931604400.0,98.27,931554000.0,64.99,931507200.0,0.21,69.99,0.83,partly-cloudy-day,0.88,rain,,Humid and partly cloudy throughout the day.,931518110.0,931561003.0,87.86,931554000.0,64.44,931604400.0,87.86,931554000.0,64.44,931507200.0,931496400.0,7.0,931539600.0,,217.0,0.72
