,date,latitude,longitude,timezone,offset,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed
0,1989-05-01 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,88.2,610048800.0,74.07,610095600.0,88.2,610048800.0,74.36,610009200.0,0.41,70.15,0.77,rain,0.87,0.001,0.0118,610005600.0,1.0,rain,1017.0,Drizzle in the morning.,610019894.0,610066033.0,85.9,610048800.0,72.95,610095600.0,85.9,610048800.0,72.95,610009200.0,609998400.0,6.0,610038000.0,,110.0,,,10.32
1,1989-05-02 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,88.19,610131600.0,74.07,610192800.0,88.19,610131600.0,74.07,610095600.0,0.27,69.95,0.78,partly-cloudy-day,0.9,0.0,0.0,,0.0,,1016.85,Light rain overnight.,610106262.0,610152453.0,83.91,610131600.0,72.95,610182000.0,83.91,610131600.0,72.95,610095600.0,610084800.0,10.0,610128000.0,,101.0,,,8.98
2,1989-05-03 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,88.19,610221600.0,73.02,610279200.0,88.19,610221600.0,74.07,610192800.0,0.3,69.48,0.76,rain,0.94,0.0038,0.0906,610178400.0,1.0,rain,1016.53,Light rain overnight.,610192631.0,610238873.0,83.91,610221600.0,71.85,610268400.0,83.91,610221600.0,72.95,610182000.0,610171200.0,10.0,610214400.0,,105.0,,,8.69
3,1989-05-04 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,87.5,610286400.0,73.15,610365600.0,87.5,610286400.0,73.02,610279200.0,0.38,69.65,0.79,rain,0.98,0.0054,0.059000000000000004,610261200.0,1.0,rain,1015.73,Light rain in the morning.,610279000.0,610325294.0,82.86,610286400.0,71.85,610365600.0,82.86,610286400.0,71.85,610268400.0,610257600.0,10.0,610304400.0,,107.0,,,8.18
4,1989-05-05 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,87.67,610390800.0,72.86,610452000.0,87.67,610390800.0,73.15,610365600.0,0.55,69.04,0.76,rain,0.02,0.0013,0.0197,610365600.0,1.0,rain,1016.33,Light rain in the morning.,610365371.0,610411715.0,83.91,610390800.0,71.85,610441200.0,83.91,610390800.0,71.85,610365600.0,610344000.0,10.0,610390800.0,,108.0,,,8.93
5,1989-05-06 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,86.54,610470000.0,72.15,610538400.0,86.54,610470000.0,72.86,610452000.0,0.56,67.99,0.73,rain,0.06,0.0077,0.1417,610509600.0,1.0,rain,1016.9,"Heavy rain until morning, starting again in the evening.",610451742.0,610498137.0,83.91,610470000.0,70.94,610531200.0,83.91,610470000.0,71.85,610441200.0,610430400.0,9.0,610470000.0,,115.0,,,9.81
6,1989-05-07 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,84.3,610574400.0,70.81,610614000.0,84.3,610574400.0,72.15,610538400.0,0.72,69.88,0.84,rain,0.1,0.0226,0.4609,610520400.0,1.0,rain,1016.23,"Light rain until morning, starting again in the evening.",610538114.0,610584558.0,80.85,610574400.0,69.87,610614000.0,80.85,610574400.0,70.94,610531200.0,610516800.0,6.0,610556400.0,,126.0,,,6.55
7,1989-05-08 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,88.76,610653600.0,70.81,610704000.0,88.76,610653600.0,70.81,610614000.0,0.34,68.89,0.77,rain,0.13,0.001,0.0118,610610400.0,1.0,rain,1015.17,Partly cloudy throughout the day.,610624488.0,610670980.0,84.84,610653600.0,69.87,610704000.0,84.84,610653600.0,69.87,610614000.0,610603200.0,10.0,610646400.0,,107.0,,,5.75
8,1989-05-09 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,88.87,610725600.0,72.01,610790400.0,88.87,610725600.0,70.81,610704000.0,0.14,68.82,0.75,partly-cloudy-day,0.17,0.0,0.0,,0.0,,1015.22,Partly cloudy throughout the day.,610710862.0,610757402.0,84.84,610740000.0,70.97,610790400.0,84.84,610740000.0,69.87,610704000.0,610689600.0,10.0,610732800.0,,105.0,,,6.21
9,1989-05-10 04:00:00,18.4653,-66.1167,America/Puerto_Rico,-4,90.6,610815600.0,73.77,610876800.0,90.6,610815600.0,72.01,610790400.0,0.39,68.51,0.73,partly-cloudy-day,0.2,0.0,0.0,,0.0,,1014.86,Mostly cloudy throughout the day.,610797237.0,610843824.0,86.99,610826400.0,72.95,610876800.0,86.99,610826400.0,70.97,610790400.0,610776000.0,9.0,610815600.0,,155.0,,,5.23
